Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2025,"21,0 €/m2","+ 1,7 %","+ 3,2 %","+ 11,2 %"
Marzo 2025,"20,7 €/m2","+ 1,5 %","+ 1,1 %","+ 8,3 %"
Febrero 2025,"20,4 €/m2","0,0 %","- 0,5 %","+ 6,3 %"
Enero 2025,"20,4 €/m2","- 0,4 %","- 2,4 %","+ 6,5 %"
Diciembre 2024,"20,5 €/m2","0,0 %","+ 2,5 %","+ 10,1 %"
Noviembre 2024,"20,5 €/m2","- 1,9 %","+ 6,8 %","+ 11,9 %"
Octubre 2024,"20,9 €/m2","+ 4,6 %","+ 7,7 %","+ 12,7 %"
Septiembre 2024,"20,0 €/m2","+ 4,1 %","+ 0,5 %","+ 8,1 %"
Agosto 2024,"19,2 €/m2","- 1,0 %","- 0,1 %","+ 7,2 %"
Julio 2024,"19,4 €/m2","- 2,5 %","+ 2,4 %","+ 12,0 %"
Junio 2024,"19,9 €/m2","+ 3,5 %","+ 4,0 %","+ 18,8 %"
Mayo 2024,"19,2 €/m2","+ 1,5 %","+ 0,2 %","+ 14,9 %"
